Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","807","North Macedonia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4495.78","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","578","Norway","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","170044.75","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","512","Oman","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","33615.08","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","586","Pakistan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","52455.13","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","275","Palestine","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","5064.4","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","591","Panama","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","14206.76","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","598","Papua New Guinea","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","5618.89","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","600","Paraguay","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","7745.27","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","604","Peru","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","29778.41","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","608","Philippines","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","82621.15","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","616","Poland","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","181593.31","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","620","Portugal","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","83212.15","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","410","Republic of Korea","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","435039.97","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","498","Republic of Moldova","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2486.68","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","642","Romania","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","74048.9","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","643","Russian Federation","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","334630.53","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","646","Rwanda","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2804.11","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","662","Saint Lucia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","628.63","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","670","Saint Vincent and the Grenadines","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","300.82","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","882","Samoa","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","247.85","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","678","Sao Tome and Principe","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","147.31","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","682","Saudi Arabia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","286862.4","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","686","Senegal","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4979.92","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","690","Seychelles","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","647.9","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","694","Sierra Leone","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1046.91","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","702","Singapore","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","95872.21","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","703","Slovakia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","32971.78","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","705","Slovenia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","17573.3","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","090","Solomon Islands","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","620.36","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","706","Somalia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","490.51","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","710","South Africa","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","71364.57","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","724","Spain","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","568731.42","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","144","Sri Lanka","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","18681.54","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","740","Suriname","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1227.45","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","752","Sweden","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","179317.98","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","756","Switzerland","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","98090.66","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","764","Thailand","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","117259.64","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","776","Tonga","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","189.17","E","Estimated value","Budgetary Central Government Expenditure"
"IG","Government Expenditure","780","Trinidad and Tobago","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","7284.46","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","788","Tunisia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","17098.57","A","Official figure","Budgetary Central Government Expenditure"
